Time(s),HeartRate(1/min),OxygenSaturation,MeanArterialPressure(mmHg),CardiacOutput(mL/min)
3.28,72.007969,0.974055,95.331767,5786.972176
3.30,72.007969,0.974056,95.331767,5786.972176
3.32,72.007969,0.974057,95.331767,5786.972176
3.34,72.007969,0.974057,95.331767,5786.972176
3.36,72.007969,0.974057,95.331767,5786.972176
3.38,72.007969,0.974057,95.331767,5786.972176
3.40,72.007969,0.974057,95.331767,5786.972176
3.42,72.007969,0.974057,95.331767,5786.972176
3.44,72.007969,0.974057,95.331767,5786.972176
3.46,72.007969,0.974057,95.331767,5786.972176
3.48,72.007969,0.974057,95.331767,5786.972176
3.50,72.007969,0.974057,95.331767,5786.972176
3.52,72.007969,0.974056,95.331767,5786.972176
3.54,72.007969,0.974056,95.331767,5786.972176
3.56,72.007969,0.974056,95.331767,5786.972176
3.58,72.007969,0.974056,95.331767,5786.972176
3.60,72.007969,0.974056,95.331767,5786.972176
3.62,72.007969,0.974056,95.331767,5786.972176
3.64,72.007969,0.974056,95.331767,5786.972176
3.66,72.007969,0.974056,95.331767,5786.972176
3.68,72.007969,0.974056,95.331767,5786.972176
3.70,72.007969,0.974056,95.331767,5786.972176
3.72,72.007969,0.974056,95.331767,5786.972176
3.74,72.007969,0.974056,95.331767,5786.972176
3.76,72.009232,0.974056,95.318213,5785.234494
3.78,72.009232,0.974056,95.318213,5785.234494
3.80,72.009232,0.974056,95.318213,5785.234494
3.82,72.009232,0.974056,95.318213,5785.234494
3.84,72.009232,0.974057,95.318213,5785.234494
3.86,72.009232,0.974060,95.318213,5785.234494
3.88,72.009232,0.974066,95.318213,5785.234494
3.90,72.009232,0.974073,95.318213,5785.234494
3.92,72.009232,0.974080,95.318213,5785.234494
3.94,72.009232,0.974086,95.318213,5785.234494
3.96,72.009232,0.974091,95.318213,5785.234494
3.98,72.009232,0.974096,95.318213,5785.234494
4.00,72.009232,0.974099,95.318213,5785.234494
4.02,72.009232,0.974102,95.318213,5785.234494
4.04,72.009232,0.974105,95.318213,5785.234494
4.06,72.009232,0.974107,95.318213,5785.234494
4.08,72.009232,0.974109,95.318213,5785.234494
4.10,72.009232,0.974111,95.318213,5785.234494
4.12,72.009232,0.974112,95.318213,5785.234494
4.14,72.009232,0.974113,95.318213,5785.234494
4.16,72.009232,0.974113,95.318213,5785.234494
4.18,72.009232,0.974113,95.318213,5785.234494
4.20,72.009232,0.974113,95.318213,5785.234494
4.22,72.009232,0.974113,95.318213,5785.234494
4.24,72.009232,0.974113,95.318213,5785.234494
4.26,72.009232,0.974113,95.318213,5785.234494
4.28,72.009232,0.974113,95.318213,5785.234494
4.30,72.009232,0.974113,95.318213,5785.234494
4.32,72.009232,0.974113,95.318213,5785.234494
4.34,72.009232,0.974113,95.318213,5785.234494
4.36,72.009232,0.974113,95.318213,5785.234494
4.38,72.009232,0.974113,95.318213,5785.234494
4.40,72.009232,0.974113,95.318213,5785.234494
4.42,72.009232,0.974113,95.318213,5785.234494
4.44,72.009232,0.974113,95.318213,5785.234494
4.46,72.009232,0.974113,95.318213,5785.234494
4.48,72.009232,0.974113,95.318213,5785.234494
4.50,72.009232,0.974113,95.318213,5785.234494
4.52,72.009232,0.974113,95.318213,5785.234494
4.54,72.009232,0.974113,95.318213,5785.234494
4.56,72.009232,0.974113,95.318213,5785.234494
4.58,72.009232,0.974113,95.318213,5785.234494
4.60,72.010588,0.974113,95.319756,5786.717805
4.62,72.010588,0.974113,95.319756,5786.717805
4.64,72.010588,0.974113,95.319756,5786.717805
4.66,72.010588,0.974113,95.319756,5786.717805
4.68,72.010588,0.974113,95.319756,5786.717805
4.70,72.010588,0.974114,95.319756,5786.717805
4.72,72.010588,0.974115,95.319756,5786.717805
4.74,72.010588,0.974116,95.319756,5786.717805
4.76,72.010588,0.974117,95.319756,5786.717805
4.78,72.010588,0.974118,95.319756,5786.717805
4.80,72.010588,0.974119,95.319756,5786.717805
4.82,72.010588,0.974119,95.319756,5786.717805
4.84,72.010588,0.974120,95.319756,5786.717805
4.86,72.010588,0.974120,95.319756,5786.717805
4.88,72.010588,0.974121,95.319756,5786.717805
4.90,72.010588,0.974121,95.319756,5786.717805
4.92,72.010588,0.974121,95.319756,5786.717805
4.94,72.010588,0.974122,95.319756,5786.717805
4.96,72.010588,0.974122,95.319756,5786.717805
4.98,72.010588,0.974122,95.319756,5786.717805
5.00,72.010588,0.974122,95.319756,5786.717805
5.02,72.010588,0.974122,95.319756,5786.717805
5.04,72.010588,0.974122,95.319756,5786.717805
5.06,72.010588,0.974122,95.319756,5786.717805
5.08,72.010588,0.974122,95.319756,5786.717805
5.10,72.010588,0.974122,95.319756,5786.717805
5.12,72.010588,0.974122,95.319756,5786.717805
5.14,72.010588,0.974122,95.319756,5786.717805
5.16,72.010588,0.974122,95.319756,5786.717805
5.18,72.010588,0.974122,95.319756,5786.717805
5.20,72.010588,0.974122,95.319756,5786.717805
5.22,72.010588,0.974122,95.319756,5786.717805
5.24,72.010588,0.974122,95.319756,5786.717805
5.26,72.010588,0.974122,95.319756,5786.717805
5.28,72.010588,0.974122,95.319756,5786.717805
5.30,72.010588,0.974122,95.319756,5786.717805
5.32,72.010588,0.974122,95.319756,5786.717805
5.34,72.010588,0.974122,95.319756,5786.717805
5.36,72.010588,0.974122,95.319756,5786.717805
5.38,72.010588,0.974122,95.319756,5786.717805
5.40,72.010588,0.974122,95.319756,5786.717805
5.42,72.010588,0.974122,95.319756,5786.717805
5.44,72.012012,0.974122,95.321705,5786.768481
5.46,72.012012,0.974122,95.321705,5786.768481
5.48,72.012012,0.974122,95.321705,5786.768481
5.50,72.012012,0.974122,95.321705,5786.768481
5.52,72.012012,0.974122,95.321705,5786.768481
5.54,72.012012,0.974117,95.321705,5786.768481
5.56,72.012012,0.974110,95.321705,5786.768481
5.58,72.012012,0.974102,95.321705,5786.768481
5.60,72.012012,0.974094,95.321705,5786.768481
5.62,72.012012,0.974087,95.321705,5786.768481
5.64,72.012012,0.974081,95.321705,5786.768481
5.66,72.012012,0.974075,95.321705,5786.768481
5.68,72.012012,0.974071,95.321705,5786.768481
